e1,alpha1,e2,alpha2,e3,alpha3,e4,alpha4,e5,alpha5,e6,alpha6,e7,alpha7
1.8898,2.4321,1.862,3.47806,1.8145,2.38613,,,,,,,,
1.8889,2.3613,1.8611,3.60539,1.8136,2.11721,,,,,,,,
1.888,2.23855,1.8602,3.58455,1.8127,1.89255,,,,,,,,
1.8871,2.10468,1.8593,3.51507,1.8118,1.69428,,,,,,,,
1.8862,2.16377,1.8584,3.61504,1.8109,1.71251,,,,,,,,
1.8853,2.10001,1.8575,3.54163,1.81,1.65839,,,,,,,,
1.8845,1.71434,1.8567,3.12716,1.8092,1.30151,,,,,,,,
1.8836,1.20568,1.8558,2.54751,1.8083,0.86384,,,,,,,,
1.8827,1.0781,1.8549,2.3607,1.8074,0.7955,,,,,,,,
1.8818,0.85512,1.854,2.11327,1.8065,0.59698,,,,,,,,
1.8809,0.55378,1.8531,1.78378,1.8056,0.32377,,,,,,,,
1.88,0.51645,1.8522,1.67294,1.8047,0.35996,,,,,,,,
1.8791,0.53698,1.8513,1.71804,1.8038,0.35591,,,,,,,,
1.8782,0.69155,1.8504,1.91063,1.8029,0.47247,,,,,,,,
1.8773,0.91519,1.8495,2.14274,1.802,0.68764,,,,,,,,
1.8764,1.20967,1.8486,2.31001,1.8011,1.10933,,,,,,,,
1.8755,1.35434,1.8477,2.39462,1.8002,1.31406,,,,,,,,
1.8747,1.82647,1.8469,2.87389,,,,,,,,,,
1.8738,2.09602,1.846,3.17644,,,,,,,,,,
1.8729,2.19775,1.8451,3.2381,,,,,,,,,,
1.872,2.25602,1.8442,3.28368,,,,,,,,,,
1.8711,2.17134,1.8433,3.10415,,,,,,,,,,
1.8702,1.83281,1.8424,2.75561,,,,,,,,,,
1.8693,1.92102,1.8415,2.80779,,,,,,,,,,
1.8685,1.78392,1.8407,2.57857,,,,,,,,,,
1.8676,1.84556,1.8398,2.51762,,,,,,,,,,
1.8667,1.67781,1.8389,2.26606,,,,,,,,,,
1.8658,1.66171,1.838,2.19598,,,,,,,,,,
1.865,1.78647,1.8372,2.37787,,,,,,,,,,
1.8641,1.94559,1.8363,2.58055,,,,,,,,,,
1.8632,2.0042,1.8354,2.62487,,,,,,,,,,
1.8623,2.00114,1.8345,2.69718,,,,,,,,,,
1.8615,1.77411,1.8337,2.57159,,,,,,,,,,
1.8606,1.88879,1.8328,2.8556,,,,,,,,,,
1.8597,1.59297,1.8319,2.70012,,,,,,,,,,
1.8588,1.57221,1.831,2.85629,,,,,,,,,,
1.858,1.66169,1.8302,3.00343,,,,,,,,,,
1.8571,1.87929,1.8293,3.37388,,,,,,,,,,
1.8562,2.16232,1.8284,3.71621,,,,,,,,,,
1.8554,2.13677,1.8276,3.72986,,,,,,,,,,
1.8545,1.97742,1.8267,3.52401,,,,,,,,,,
1.8536,2.12511,1.8258,3.70806,,,,,,,,,,
1.8527,1.88246,1.8249,3.4339,,,,,,,,,,
1.8519,1.80399,1.8241,3.40247,,,,,,,,,,
1.851,1.77974,1.8232,3.30922,,,,,,,,,,
1.8501,1.75548,1.8223,3.24628,,,,,,,,,,
1.8493,2.09386,1.8215,3.58418,,,,,,,,,,
1.8484,2.60254,1.8206,4.15694,,,,,,,,,,
1.8476,3.14325,1.8198,4.69691,,,,,,,,,,
1.8467,3.67009,1.8189,5.14335,,,,,,,,,,
1.8458,4.14551,1.818,5.51906,,,,,,,,,,
1.845,4.40791,1.8172,5.81085,,,,,,,,,,
1.8441,4.47432,1.8163,5.86051,,,,,,,,,,
1.8433,4.4526,1.8155,5.84272,,,,,,,,,,
1.8424,4.23904,1.8146,5.58707,,,,,,,,,,
1.8415,3.97583,1.8137,5.20315,,,,,,,,,,
1.8407,3.71901,1.8129,4.9114,,,,,,,,,,
1.8398,3.37434,1.812,4.55999,,,,,,,,,,
1.839,3.16357,1.8112,4.25947,,,,,,,,,,
1.8381,2.97216,1.8103,4.01677,,,,,,,,,,
1.8373,2.78599,1.8095,3.73602,,,,,,,,,,
1.8364,2.71678,1.8086,3.60037,,,,,,,,,,
1.8355,2.47208,1.8077,3.33304,,,,,,,,,,
1.8347,2.35299,1.8069,3.19432,,,,,,,,,,
1.8339,2.53806,1.8061,3.45722,,,,,,,,,,
1.833,2.42868,1.8052,3.43301,,,,,,,,,,
1.8322,2.17434,1.8044,3.30717,,,,,,,,,,
1.8313,2.25404,1.8035,3.56744,,,,,,,,,,
1.8305,2.09287,1.8027,3.60956,,,,,,,,,,
1.8296,2.23626,1.8018,3.91998,,,,,,,,,,
1.8288,2.52574,1.801,4.35102,,,,,,,,,,
1.8279,2.5454,1.8001,4.44339,,,,,,,,,,
1.8271,2.51646,,,,,,,,,,,,
1.8262,2.67397,,,,,,,,,,,,
1.8254,2.42899,,,,,,,,,,,,
1.8245,2.42701,,,,,,,,,,,,
1.8237,2.21456,,,,,,,,,,,,
1.8229,1.85131,,,,,,,,,,,,
1.822,1.40771,,,,,,,,,,,,
1.8212,1.29624,,,,,,,,,,,,
1.8204,1.25254,,,,,,,,,,,,
